job_role,experience_years,education_level,skills,salary,is_demonstration
Cyber Security Analyst,11.7,Bachelor's Degree,"Networking, Penetration Testing, SIEM, AWS, Security Compliance, Python, Incident Response, Cryptography, Go",182500,True
Full Stack Developer,0.4,Master's Degree,"Git, JavaScript, Docker",100000,True
Data Scientist,4.8,Bachelor's Degree,"Machine Learning, Data Visualization, Pandas, SQL, A/B Testing, Statistical Modeling",133000,True
Data Engineer,4.8,Bachelor's Degree,"PostgreSQL, Docker, Data Warehousing, SQL, Apache Spark, AWS, Python, Kafka",140500,True
DevOps Engineer,7.6,Bachelor's Degree,"Shell / Bash, Git, Kubernetes, Nginx, AWS",168000,True
ML Engineer,9.4,Master's Degree,"Python, Pandas, Deep Learning, Kubernetes, Docker, MLOps, PyTorch",213000,True
Full Stack Developer,2.8,Bachelor's Degree,"Tailwind CSS, TypeScript, Git, MongoDB, HTML5, Docker, Node.js",122500,True
Software Engineer,3.7,Master's Degree,"System Design, Git, Linux, Algorithms, SQL, REST APIs, CI/CD",130500,True
Full Stack Developer,3.8,Bachelor's Degree,"Tailwind CSS, TypeScript, Docker, Node.js, JavaScript, HTML5, React, Git",130500,True
Data Scientist,9.8,Associate's Degree,"Data Visualization, SQL, Scikit-Learn, NumPy, Data Wrangling, Python, Machine Learning, A/B Testing",166500,True
Software Engineer,2.3,Master's Degree,"CI/CD, Microservices, Linux, Data Structures, Algorithms, Python",113500,True
Software Engineer,4.2,Associate's Degree,"System Design, Microservices, SQL, REST APIs, Algorithms, Git",118000,True
Data Engineer,1.2,Bachelor's Degree,"Pandas, Data Pipelines, ETL, Apache Spark, SQL, AWS, Kafka, PostgreSQL",112000,True
Mobile Developer,1.5,Master's Degree,"Firebase, Mobile UI, TypeScript, Git, Kotlin",110500,True
Cyber Security Analyst,7.2,High School / Bootcamp,"Security Compliance, Penetration Testing, Incident Response",126000,True
Data Engineer,11.1,Bachelor's Degree,"Python, Data Pipelines, Docker, SQL, Kafka, Data Warehousing, AWS",178500,True
Full Stack Developer,9.7,Master's Degree,"CSS3, MongoDB, HTML5, REST APIs, JavaScript, PostgreSQL",161000,True
Full Stack Developer,10.3,Bachelor's Degree,"MongoDB, HTML5, PostgreSQL, REST APIs, Node.js, Git, React, Tailwind CSS, Rust",184500,True
Frontend Developer,4.8,High School / Bootcamp,"React, JavaScript, Responsive Design, REST APIs, CSS3, Git",112500,True
Cloud Engineer,12.1,Bachelor's Degree,"DevOps, Google Cloud Platform (GCP), System Design, Microsoft Azure",182000,True
Full Stack Developer,2.8,Master's Degree,"Tailwind CSS, REST APIs, MongoDB, JavaScript, TypeScript, HTML5, Node.js",128500,True
Cloud Engineer,0.8,Associate's Degree,"DevOps, Kubernetes, AWS, Terraform, Microservices",111500,True
Cyber Security Analyst,1.7,Master's Degree,"Networking, Security Compliance, Penetration Testing, SIEM, Cryptography, Linux",121000,True
Full Stack Developer,8.0,Master's Degree,"TypeScript, PostgreSQL, Node.js, Express, CSS3, REST APIs, MongoDB",163000,True
DevOps Engineer,4.5,Bachelor's Degree,"Kubernetes, AWS, Shell / Bash, Git, Terraform, Microservices, Nginx, Docker",151000,True
Mobile Developer,8.9,Bachelor's Degree,"Git, TypeScript, REST APIs, Flutter, Swift, Mobile UI, React Native, Kotlin, AWS",143000,True
ML Engineer,0.8,Bachelor's Degree,"Kubernetes, Deep Learning, FastAPI, Data Pipelines, PyTorch, Scikit-Learn, Pandas, Machine Learning, Rust",130000,True
Backend Developer,5.4,Bachelor's Degree,"Node.js, PostgreSQL, System Design, FastAPI, SQL, Microservices, MongoDB",143000,True
DevOps Engineer,5.6,Bachelor's Degree,"Microservices, Linux, Terraform, AWS, Nginx",147000,True
AI Engineer,0.3,Bachelor's Degree,"TensorFlow, Transformers, Hugging Face, RAG, Natural Language Processing",123500,True
Full Stack Developer,5.7,Master's Degree,"Docker, TypeScript, JavaScript",150500,True
Cloud Engineer,6.8,High School / Bootcamp,"DevOps, System Design, Linux, Microsoft Azure, Microservices",150000,True
Backend Developer,3.6,High School / Bootcamp,"SQL, FastAPI, Java, Docker",104500,True
Full Stack Developer,6.5,High School / Bootcamp,"Node.js, JavaScript, MongoDB, Git, REST APIs",122500,True
AI Engineer,1.0,Bachelor's Degree,"Large Language Models, Vector Databases, RAG, TensorFlow, Natural Language Processing",139500,True
Data Scientist,6.3,Master's Degree,"Data Visualization, Statistical Modeling, Data Wrangling, Machine Learning, A/B Testing, NumPy, Scikit-Learn, Docker",161000,True
ML Engineer,4.9,Master's Degree,"PyTorch, MLOps, TensorFlow, Machine Learning, Docker, Data Pipelines, Pandas, FastAPI",175000,True
Full Stack Developer,1.4,High School / Bootcamp,"React, JavaScript, Git, Express, MongoDB, CSS3, PostgreSQL",94500,True
Frontend Developer,10.9,Bachelor's Degree,"React, HTML5, Redux, CSS3, TypeScript, REST APIs",140000,True
Full Stack Developer,5.1,Bachelor's Degree,"TypeScript, Node.js, CSS3, MongoDB, React, Git, JavaScript",138500,True
AI Engineer,9.5,Bachelor's Degree,"PyTorch, Hugging Face, TensorFlow",177500,True
ML Engineer,0.0,Bachelor's Degree,"Pandas, Kubernetes, MLOps",105500,True
AI Engineer,4.1,Associate's Degree,"Large Language Models, Hugging Face, Natural Language Processing, PyTorch",138000,True
Cyber Security Analyst,3.0,Bachelor's Degree,"AWS, Linux, Security Compliance",116500,True
Data Scientist,2.7,Bachelor's Degree,"Data Wrangling, Scikit-Learn, Data Visualization, NumPy, Machine Learning",117500,True
ML Engineer,2.1,Bachelor's Degree,"MLOps, Deep Learning, Machine Learning, PyTorch, Docker, Pandas, TensorFlow, Data Pipelines, System Design",137500,True
ML Engineer,9.6,High School / Bootcamp,"Deep Learning, Docker, Data Pipelines",164500,True
Software Engineer,6.4,Ph.D.,"System Design, Linux, Git, Python, REST APIs, Java, Algorithms",165500,True
Backend Developer,7.7,High School / Bootcamp,"FastAPI, Python, Java, Node.js",137500,True
Frontend Developer,3.1,Master's Degree,"TypeScript, Git, CSS3",106500,True
Data Scientist,1.8,Bachelor's Degree,"Tableau, Scikit-Learn, A/B Testing",109500,True
Cloud Engineer,6.5,Master's Degree,"System Design, Linux, AWS, Microservices, DevOps, Microsoft Azure, Rust",178000,True
DevOps Engineer,2.6,Bachelor's Degree,"Git, AWS, Kubernetes, Terraform, CI/CD, Prometheus & Grafana",127500,True
Cyber Security Analyst,2.1,Bachelor's Degree,"Security Compliance, AWS, Incident Response, Python",115000,True
Cloud Engineer,1.4,Master's Degree,"AWS, Linux, Terraform, DevOps, Docker, Kubernetes, Microsoft Azure",140500,True
Data Engineer,5.8,Bachelor's Degree,"Python, Pandas, Data Pipelines, AWS, Docker, Data Warehousing, SQL",153500,True
Data Scientist,0.3,Bachelor's Degree,"Pandas, Tableau, Scikit-Learn, NumPy, A/B Testing",105000,True
Cloud Engineer,5.3,Bachelor's Degree,"Kubernetes, Linux, Microsoft Azure, DevOps, System Design, Terraform",155000,True
Full Stack Developer,6.7,Associate's Degree,"React, CSS3, Tailwind CSS, Go",135500,True
Cloud Engineer,5.2,Master's Degree,"CI/CD, Google Cloud Platform (GCP), Microsoft Azure, Go",157500,True
Software Engineer,8.6,Master's Degree,"Python, REST APIs, Java, SQL, Microservices",169000,True
Cloud Engineer,5.3,Bachelor's Degree,"System Design, DevOps, Linux, Microservices, AWS",147000,True
Full Stack Developer,2.5,Bachelor's Degree,"TypeScript, React, HTML5",116500,True
Data Scientist,2.4,Bachelor's Degree,"Data Wrangling, Tableau, Machine Learning, Data Visualization, SQL, AWS",124500,True
Full Stack Developer,9.8,Associate's Degree,"REST APIs, JavaScript, Docker, CSS3, Git, TypeScript, System Design",158500,True
Full Stack Developer,7.7,Bachelor's Degree,"React, Git, REST APIs, Docker, JavaScript, MongoDB, HTML5, PostgreSQL",147500,True
Data Engineer,5.5,Bachelor's Degree,"Data Warehousing, ETL, Docker, AWS",146000,True
Cloud Engineer,3.0,Bachelor's Degree,"CI/CD, Kubernetes, Microsoft Azure, Microservices, AWS, Go",139000,True
Data Scientist,5.2,Bachelor's Degree,"Scikit-Learn, Data Wrangling, NumPy, Python, A/B Testing, Pandas, System Design",142500,True
AI Engineer,2.1,Bachelor's Degree,"LangChain, Natural Language Processing, RAG",140500,True
DevOps Engineer,1.8,Master's Degree,"Terraform, Linux, Kubernetes, Prometheus & Grafana",124500,True
Data Scientist,5.9,Associate's Degree,"Pandas, Machine Learning, Python, NumPy, Tableau, Large Language Models",144000,True
Frontend Developer,8.6,Associate's Degree,"Redux, TypeScript, REST APIs, Git, Responsive Design",133500,True
Full Stack Developer,5.2,Bachelor's Degree,"Git, TypeScript, REST APIs, Node.js, Tailwind CSS, CSS3, HTML5, React",141000,True
Frontend Developer,5.4,Bachelor's Degree,"HTML5, TypeScript, Responsive Design",122000,True
Data Scientist,3.8,High School / Bootcamp,"Data Wrangling, Machine Learning, Pandas",117000,True
Software Engineer,10.4,Master's Degree,"Data Structures, CI/CD, Algorithms",165000,True
ML Engineer,3.5,High School / Bootcamp,"TensorFlow, Deep Learning, Scikit-Learn, Python, Docker, Pandas",131500,True
Full Stack Developer,1.5,Master's Degree,"React, TypeScript, REST APIs, Git, Tailwind CSS, Express, CSS3",125500,True
Data Scientist,0.1,High School / Bootcamp,"Data Wrangling, NumPy, Statistical Modeling, SQL, Tableau",91500,True
DevOps Engineer,3.7,Bachelor's Degree,"Terraform, Git, Docker",125500,True
ML Engineer,0.7,Bachelor's Degree,"Data Pipelines, Scikit-Learn, Python, TensorFlow, PyTorch, FastAPI, Kubernetes, Pandas, Docker",127000,True
Backend Developer,5.3,Master's Degree,"System Design, Python, SQL, PostgreSQL, FastAPI",132000,True
Backend Developer,1.1,Bachelor's Degree,"Go, System Design, Docker, FastAPI, Java, PostgreSQL",107500,True
Cloud Engineer,2.8,Bachelor's Degree,"DevOps, CI/CD, System Design, Terraform",129000,True
ML Engineer,6.4,Master's Degree,"Data Pipelines, PyTorch, Pandas, Kubernetes, FastAPI",167000,True
Data Scientist,5.6,Associate's Degree,"Python, Scikit-Learn, NumPy, Tableau, Data Visualization",132500,True
Frontend Developer,9.1,Bachelor's Degree,"Tailwind CSS, HTML5, Git, React, Redux, Large Language Models",140500,True
Software Engineer,3.3,Master's Degree,"Microservices, Git, Python",119000,True
Cloud Engineer,5.7,Master's Degree,"System Design, Microservices, AWS, CI/CD",172000,True
Full Stack Developer,9.4,Bachelor's Degree,"Git, PostgreSQL, Docker, REST APIs, TypeScript, Node.js",160000,True
Frontend Developer,1.8,Bachelor's Degree,"TypeScript, Redux, Git, REST APIs, Tailwind CSS, Docker",98000,True
AI Engineer,7.3,Bachelor's Degree,"Vector Databases, PyTorch, Deep Learning, LangChain, Natural Language Processing, TensorFlow, Transformers, RAG",190500,True
Cloud Engineer,1.0,Master's Degree,"System Design, Terraform, Microsoft Azure, Google Cloud Platform (GCP), AWS",130000,True
Full Stack Developer,4.4,Bachelor's Degree,"REST APIs, Node.js, Docker, Git, PostgreSQL, Express, Tailwind CSS, MongoDB",138500,True
Data Engineer,7.8,Bachelor's Degree,"PostgreSQL, Python, Kafka, Apache Spark, AWS",154500,True
Mobile Developer,0.8,Bachelor's Degree,"React Native, TypeScript, Git",93500,True
AI Engineer,7.2,Associate's Degree,"RAG, Hugging Face, Deep Learning, Python, System Design",163500,True
Frontend Developer,0.5,Ph.D.,"CSS3, JavaScript, Responsive Design, HTML5, Git, REST APIs, React",112500,True
Data Scientist,2.8,Bachelor's Degree,"A/B Testing, NumPy, Data Visualization, Data Wrangling, Scikit-Learn, SQL, Machine Learning, Pandas",124500,True
Full Stack Developer,1.0,Bachelor's Degree,"REST APIs, React, CSS3, Docker, PostgreSQL, HTML5, JavaScript, Express",113000,True
DevOps Engineer,2.7,Ph.D.,"Prometheus & Grafana, Linux, Terraform, CI/CD, Docker, AWS",157000,True
Full Stack Developer,7.3,Bachelor's Degree,"Git, Tailwind CSS, React, REST APIs, Docker, HTML5, TypeScript, Node.js",142000,True
Full Stack Developer,1.9,Master's Degree,"React, Tailwind CSS, PostgreSQL",113000,True
Full Stack Developer,2.8,Bachelor's Degree,"Docker, PostgreSQL, Git, REST APIs, MongoDB, JavaScript, Express, Large Language Models",130500,True
Backend Developer,0.7,Master's Degree,"REST APIs, Docker, Python, Go, PostgreSQL, FastAPI, System Design",117500,True
Full Stack Developer,2.3,Bachelor's Degree,"Tailwind CSS, TypeScript, REST APIs, Docker, React, MongoDB, Node.js, CSS3",116500,True
Software Engineer,2.2,Associate's Degree,"System Design, Data Structures, Java, Linux, Python",102500,True
DevOps Engineer,6.6,Bachelor's Degree,"Terraform, AWS, Git, Docker",150500,True
Full Stack Developer,8.5,Bachelor's Degree,"React, TypeScript, Git, Node.js, JavaScript, Express, REST APIs, PostgreSQL",144500,True
Cloud Engineer,3.9,Bachelor's Degree,"Microservices, AWS, Docker, Kubernetes, Linux, Terraform, CI/CD",148500,True
Full Stack Developer,8.4,Bachelor's Degree,"TypeScript, JavaScript, Git, CSS3, React, Kubernetes",146500,True
Cloud Engineer,5.6,Bachelor's Degree,"CI/CD, DevOps, Google Cloud Platform (GCP)",137000,True
Software Engineer,6.8,Bachelor's Degree,"Python, Java, Linux, Microservices, Algorithms, SQL, Git",142500,True
Cloud Engineer,5.6,Bachelor's Degree,"Linux, System Design, Microsoft Azure, Docker, Terraform, DevOps, Google Cloud Platform (GCP), AWS, Large Language Models",167000,True
Cloud Engineer,0.9,Bachelor's Degree,"Terraform, DevOps, Docker, AWS, System Design",116500,True
Data Scientist,12.4,Bachelor's Degree,"Data Wrangling, A/B Testing, Python, Pandas, SQL, Machine Learning, Statistical Modeling, NumPy",198000,True
Backend Developer,5.5,Bachelor's Degree,"Microservices, REST APIs, Python, Docker, PostgreSQL",129500,True
Software Engineer,2.7,High School / Bootcamp,"Git, Python, SQL, REST APIs",93500,True
Backend Developer,5.0,Master's Degree,"MongoDB, Python, PostgreSQL, REST APIs, Node.js, Go, Microservices, Java",152000,True
Data Scientist,0.9,Bachelor's Degree,"Machine Learning, Tableau, Pandas, Large Language Models",109000,True
Frontend Developer,7.8,Master's Degree,"React, HTML5, JavaScript, Git, Redux, CSS3, REST APIs, AWS",147000,True
Software Engineer,4.4,Bachelor's Degree,"Git, Algorithms, SQL, Microservices, Java, Data Structures, Linux",117500,True
Frontend Developer,9.4,Ph.D.,"Git, TypeScript, HTML5, CSS3, React, Redux, Tailwind CSS",183000,True
Cloud Engineer,2.3,Bachelor's Degree,"Microservices, System Design, Linux, Terraform, Microsoft Azure, CI/CD, Google Cloud Platform (GCP), AWS",135000,True
Frontend Developer,2.8,Bachelor's Degree,"CSS3, REST APIs, Git, TypeScript, Redux, Tailwind CSS",98000,True
AI Engineer,5.0,Bachelor's Degree,"PyTorch, Hugging Face, Deep Learning",141500,True
AI Engineer,1.7,Associate's Degree,"PyTorch, Transformers, RAG, Deep Learning, LangChain, TensorFlow, Large Language Models, Natural Language Processing",141500,True
ML Engineer,3.0,Bachelor's Degree,"Kubernetes, PyTorch, Deep Learning, Machine Learning, Docker, System Design",148500,True
AI Engineer,7.8,High School / Bootcamp,"Deep Learning, Vector Databases, LangChain",151500,True
Full Stack Developer,1.1,Master's Degree,"React, Tailwind CSS, REST APIs, Express, CSS3, Docker, TypeScript, MongoDB",118000,True
Data Scientist,6.8,Bachelor's Degree,"SQL, Data Wrangling, Python, Data Visualization, Machine Learning, Kubernetes",165000,True
Data Engineer,0.1,Bachelor's Degree,"AWS, Data Pipelines, ETL, Pandas, Apache Spark, Docker, Kafka",108000,True
Full Stack Developer,0.9,Bachelor's Degree,"MongoDB, React, Docker, JavaScript, TypeScript",109500,True
DevOps Engineer,0.8,Bachelor's Degree,"Microservices, Terraform, Prometheus & Grafana, Nginx, Linux, CI/CD",121000,True
Full Stack Developer,3.6,Master's Degree,"HTML5, JavaScript, Docker, PostgreSQL, Tailwind CSS, Git, MongoDB",136500,True
Frontend Developer,3.6,Bachelor's Degree,"Responsive Design, TypeScript, HTML5, REST APIs, Tailwind CSS, JavaScript, React",112500,True
Cyber Security Analyst,5.4,Bachelor's Degree,"Incident Response, SIEM, AWS, Python, Cryptography, Rust",150500,True
Frontend Developer,5.6,High School / Bootcamp,"Responsive Design, JavaScript, CSS3, HTML5, Git, AWS",109500,True
Backend Developer,3.9,High School / Bootcamp,"SQL, Java, System Design",106500,True
Full Stack Developer,5.9,Ph.D.,"React, Tailwind CSS, CSS3, MongoDB, Node.js, Docker, HTML5",161500,True
Full Stack Developer,6.5,Associate's Degree,"Tailwind CSS, CSS3, Git, Express",137500,True
Full Stack Developer,8.5,Bachelor's Degree,"Git, Tailwind CSS, CSS3, HTML5, REST APIs",141500,True
Software Engineer,6.3,Bachelor's Degree,"Algorithms, Microservices, System Design, SQL, CI/CD, REST APIs, Java, Data Structures",135500,True
Software Engineer,5.6,High School / Bootcamp,"Python, Microservices, Algorithms",107500,True
Cloud Engineer,6.0,Master's Degree,"Microsoft Azure, Kubernetes, Microservices, Linux, Terraform, AWS, Docker, System Design",175500,True
Frontend Developer,3.7,Bachelor's Degree,"CSS3, Responsive Design, React",100000,True
ML Engineer,3.7,Bachelor's Degree,"Machine Learning, Docker, Scikit-Learn, Pandas, Python, FastAPI, MLOps, Data Pipelines",147000,True
ML Engineer,1.3,Bachelor's Degree,"Kubernetes, Docker, FastAPI",119000,True
Backend Developer,7.9,Ph.D.,"Node.js, SQL, Docker, MongoDB, FastAPI, Microservices",200500,True
Cloud Engineer,4.4,Master's Degree,"System Design, Docker, Microsoft Azure, AWS, Microservices",164000,True
Data Scientist,2.9,Master's Degree,"NumPy, Pandas, Python, A/B Testing, Tableau, Statistical Modeling",135500,True
Frontend Developer,7.4,Master's Degree,"TypeScript, HTML5, REST APIs, Tailwind CSS, CSS3, Responsive Design",148000,True
Full Stack Developer,1.1,Master's Degree,"JavaScript, Node.js, MongoDB, React, Git, PostgreSQL, HTML5, Kubernetes",121500,True
Cloud Engineer,10.1,Bachelor's Degree,"System Design, CI/CD, Terraform, Google Cloud Platform (GCP), DevOps, Kubernetes, Microservices, Linux",186500,True
Data Engineer,4.7,Bachelor's Degree,"Data Warehousing, Python, PostgreSQL, SQL",129000,True
Full Stack Developer,0.1,Bachelor's Degree,"Git, Tailwind CSS, React, Node.js, MongoDB, Express, Docker, PostgreSQL",98000,True
Mobile Developer,8.4,Ph.D.,"TypeScript, REST APIs, Kotlin, React Native, Firebase, Flutter, Mobile UI, Swift",179500,True
Backend Developer,6.4,Associate's Degree,"FastAPI, Microservices, System Design, Java, AWS",133500,True
Software Engineer,5.0,Master's Degree,"Python, Java, System Design, Data Structures, Microservices, Linux",149500,True
Frontend Developer,7.9,Bachelor's Degree,"Tailwind CSS, HTML5, TypeScript",136000,True
AI Engineer,5.0,High School / Bootcamp,"TensorFlow, Natural Language Processing, Hugging Face, Deep Learning, Vector Databases, RAG, Rust",158000,True
Full Stack Developer,8.8,Bachelor's Degree,"Node.js, Express, PostgreSQL, React, MongoDB",157000,True
ML Engineer,2.4,Bachelor's Degree,"Docker, Scikit-Learn, Python, MLOps, PyTorch, Machine Learning",126500,True
Cloud Engineer,8.3,High School / Bootcamp,"DevOps, AWS, CI/CD, System Design, Docker, Terraform",153500,True
AI Engineer,8.5,Master's Degree,"Transformers, Large Language Models, Natural Language Processing, PyTorch, Rust",207000,True
Backend Developer,2.9,Bachelor's Degree,"Python, FastAPI, Node.js, REST APIs, MongoDB, PostgreSQL, System Design, Java",129500,True
Full Stack Developer,12.0,Master's Degree,"REST APIs, MongoDB, HTML5",183500,True
Cloud Engineer,3.3,Master's Degree,"Microsoft Azure, Terraform, Docker, Google Cloud Platform (GCP)",147500,True
Frontend Developer,6.4,Master's Degree,"Tailwind CSS, CSS3, Redux, React, JavaScript, Kubernetes",134000,True
Backend Developer,2.8,Bachelor's Degree,"FastAPI, Node.js, Go, Microservices, System Design, Docker",125500,True
Data Scientist,2.9,Bachelor's Degree,"Python, Scikit-Learn, Data Visualization, Pandas, NumPy, Machine Learning, Tableau, Data Wrangling",132000,True
Software Engineer,8.4,Bachelor's Degree,"System Design, SQL, CI/CD, Linux, Algorithms, Data Structures, Git, Java",150000,True
Data Scientist,4.8,Bachelor's Degree,"Tableau, Scikit-Learn, Pandas, A/B Testing",131500,True
Full Stack Developer,4.4,Bachelor's Degree,"MongoDB, HTML5, Docker, Large Language Models",122500,True
ML Engineer,1.9,Bachelor's Degree,"Deep Learning, Python, Kubernetes, Data Pipelines, TensorFlow",126000,True
Data Engineer,6.7,Master's Degree,"Data Pipelines, SQL, Docker, Python, Data Warehousing, ETL",176000,True
Data Scientist,4.2,High School / Bootcamp,"NumPy, Data Wrangling, Tableau, A/B Testing, Data Visualization, Pandas, SQL, Python, Go",123500,True
Software Engineer,6.0,Master's Degree,"SQL, REST APIs, Data Structures, Microservices, Linux, Algorithms, CI/CD, Python",152000,True
Data Scientist,1.3,Master's Degree,"Pandas, Data Visualization, Data Wrangling, A/B Testing, Tableau",122000,True
ML Engineer,13.2,Master's Degree,"Python, MLOps, Scikit-Learn",219000,True
ML Engineer,10.1,Bachelor's Degree,"Docker, Python, Scikit-Learn, Data Pipelines, Pandas, Kubernetes, TensorFlow",194000,True
Full Stack Developer,4.6,Bachelor's Degree,"Git, Express, Tailwind CSS",120500,True
Software Engineer,7.2,Bachelor's Degree,"Java, SQL, Linux, Python, REST APIs, Data Structures, AWS",145000,True
DevOps Engineer,4.2,Ph.D.,"Linux, Git, Shell / Bash",161000,True
Software Engineer,1.4,Bachelor's Degree,"SQL, Git, Microservices, System Design, Python",103000,True
Full Stack Developer,3.3,Bachelor's Degree,"React, REST APIs, Node.js, MongoDB",119500,True
Cloud Engineer,4.4,Master's Degree,"CI/CD, Linux, Google Cloud Platform (GCP), Docker",157500,True
Data Scientist,1.7,Master's Degree,"Pandas, Scikit-Learn, Python, SQL, Machine Learning, Rust",128500,True
Full Stack Developer,4.5,Bachelor's Degree,"TypeScript, JavaScript, Tailwind CSS",124000,True
Backend Developer,8.0,High School / Bootcamp,"Python, Node.js, FastAPI, Go, Docker, SQL, MongoDB, Java",144000,True
Backend Developer,3.4,Bachelor's Degree,"Node.js, System Design, SQL, Python, Go, MongoDB, FastAPI",131000,True
Software Engineer,3.8,Bachelor's Degree,"Microservices, Data Structures, CI/CD, Java, Linux, System Design, Algorithms, Git",133000,True
Full Stack Developer,2.9,Associate's Degree,"Docker, Express, REST APIs, JavaScript, TypeScript",114000,True
Cloud Engineer,3.4,Bachelor's Degree,"Docker, Google Cloud Platform (GCP), Linux, Terraform, Microservices, AWS",144500,True
ML Engineer,1.1,Associate's Degree,"Pandas, Data Pipelines, Machine Learning, Deep Learning, FastAPI, Kubernetes",112500,True
Data Engineer,1.1,Master's Degree,"Data Warehousing, Kafka, AWS, Data Pipelines, Apache Spark, Docker, ETL",129500,True
Data Engineer,5.2,Bachelor's Degree,"ETL, PostgreSQL, Python, SQL",138500,True
Software Engineer,2.6,Bachelor's Degree,"System Design, Linux, CI/CD",103500,True
Full Stack Developer,8.2,Master's Degree,"JavaScript, Git, CSS3, TypeScript, MongoDB, Tailwind CSS, React",163000,True
Full Stack Developer,6.9,Bachelor's Degree,"PostgreSQL, MongoDB, Tailwind CSS",136000,True
DevOps Engineer,3.3,Bachelor's Degree,"Microservices, Nginx, AWS, Linux, Terraform, Docker",140500,True
Backend Developer,4.9,Bachelor's Degree,"REST APIs, MongoDB, Python, Go, Docker",132500,True
Data Scientist,2.1,High School / Bootcamp,"Data Visualization, Data Wrangling, Tableau, A/B Testing, Pandas, Python, NumPy, Statistical Modeling",109000,True
Cloud Engineer,6.7,Bachelor's Degree,"Kubernetes, Terraform, CI/CD, Docker, Linux, Microservices, AWS",171500,True
ML Engineer,5.0,Associate's Degree,"Scikit-Learn, Machine Learning, Data Pipelines, Kubernetes, Docker",144500,True
Backend Developer,4.0,Bachelor's Degree,"SQL, Docker, Microservices, FastAPI, Java",125000,True
Cloud Engineer,5.0,Master's Degree,"Kubernetes, DevOps, CI/CD, AWS, System Design, Google Cloud Platform (GCP)",168000,True
DevOps Engineer,3.9,High School / Bootcamp,"Nginx, Linux, Microservices, Terraform",125500,True
Cloud Engineer,5.9,Master's Degree,"Linux, DevOps, CI/CD, Microservices, Terraform, AWS",168500,True
Frontend Developer,2.3,Master's Degree,"JavaScript, TypeScript, Tailwind CSS",108000,True
Cyber Security Analyst,6.8,Master's Degree,"Security Compliance, Networking, Penetration Testing, SIEM",160000,True
Cloud Engineer,8.1,Bachelor's Degree,"Terraform, Microservices, CI/CD, Docker, Linux",173000,True
Software Engineer,2.7,High School / Bootcamp,"SQL, Java, System Design, REST APIs, Algorithms, Linux, Microservices",116000,True
Data Scientist,12.8,Bachelor's Degree,"A/B Testing, Python, NumPy, Scikit-Learn, Machine Learning, Tableau, Pandas, Data Visualization",176500,True
DevOps Engineer,5.5,Ph.D.,"Linux, Kubernetes, CI/CD, Git, Microservices",180000,True
Data Scientist,6.6,Associate's Degree,"Machine Learning, Data Visualization, Statistical Modeling, Data Wrangling, A/B Testing, Python",146000,True
DevOps Engineer,4.3,Master's Degree,"Docker, Git, Terraform, Prometheus & Grafana, Nginx, AWS, Large Language Models",162000,True
Cloud Engineer,1.0,Bachelor's Degree,"Microservices, CI/CD, Terraform, Linux",117000,True
Frontend Developer,1.6,Bachelor's Degree,"Tailwind CSS, React, Redux, HTML5, CSS3, TypeScript, AWS",109000,True
Cloud Engineer,12.7,Bachelor's Degree,"Microservices, CI/CD, Kubernetes, Microsoft Azure, AWS, Linux, System Design",195500,True
Software Engineer,6.1,Master's Degree,"Git, System Design, CI/CD, REST APIs, Go",146500,True
Backend Developer,6.1,Bachelor's Degree,"Go, MongoDB, SQL, Microservices, Node.js, Python",143500,True
Cyber Security Analyst,2.6,High School / Bootcamp,"Linux, AWS, Python, Networking, Security Compliance, Incident Response, Penetration Testing",120000,True
Frontend Developer,0.6,Bachelor's Degree,"React, Git, JavaScript, CSS3, TypeScript",89000,True
ML Engineer,1.6,Associate's Degree,"Deep Learning, Docker, Scikit-Learn",118000,True
Cyber Security Analyst,7.6,Master's Degree,"Cryptography, Python, Penetration Testing, SIEM, Security Compliance, Docker",162500,True
Software Engineer,3.6,Associate's Degree,"Python, CI/CD, SQL, Microservices, Algorithms, REST APIs, Rust",121000,True
Software Engineer,2.7,Bachelor's Degree,"Python, Linux, Data Structures, REST APIs, System Design, Java, Algorithms",113500,True
Cyber Security Analyst,0.4,Bachelor's Degree,"SIEM, Python, Linux, Go",99000,True
Cloud Engineer,3.5,Bachelor's Degree,"Terraform, Microservices, Microsoft Azure, Docker, CI/CD, AWS",134000,True
Data Scientist,8.2,Associate's Degree,"Pandas, NumPy, Data Visualization, SQL, Python",154500,True
Data Scientist,10.9,Bachelor's Degree,"A/B Testing, Data Wrangling, Pandas, Statistical Modeling, Machine Learning, Kubernetes",186000,True
ML Engineer,4.8,Bachelor's Degree,"TensorFlow, Data Pipelines, Deep Learning, MLOps, Kubernetes, Python",162000,True
Cloud Engineer,7.0,Associate's Degree,"CI/CD, Google Cloud Platform (GCP), Linux, Kubernetes, Microservices, System Design",157000,True
Data Scientist,2.4,Master's Degree,"SQL, Tableau, Data Visualization, Data Wrangling, Python, NumPy, Scikit-Learn",130000,True
Frontend Developer,0.4,Master's Degree,"TypeScript, Redux, CSS3",96000,True
Frontend Developer,5.6,Master's Degree,"HTML5, React, TypeScript, Tailwind CSS",130500,True
AI Engineer,2.0,Bachelor's Degree,"Deep Learning, Vector Databases, Hugging Face, Large Language Models, RAG, LangChain",147000,True
DevOps Engineer,8.2,High School / Bootcamp,"Docker, CI/CD, Git",139500,True
